Tmix,s	Tmix,days	Voltage,V	Power,W	Heat,J	Power/SCM,W/g	Heat/SCM,J/g
11815	0.1367476851851852	0.009752	0.1161	3085.0	0.001527335657478598	40.58424206133916
11875	0.1374421296296296	0.009732	0.1159	3092.0	0.001524704588301202	40.67632948254803
11935	0.1381365740740741	0.009712	0.1156	3099.0	0.001520757984535107	40.76841690375691
11995	0.1388310185185185	0.009692000000000001	0.1154	3106.0	0.001518126915357711	40.86050432496578
12055	0.139525462962963	0.009672	0.1152	3113.0	0.001515495846180315	40.95259174617465
12115	0.1402199074074074	0.009653	0.1149	3120.0	0.00151154924241422	41.04467916738353
12175	0.1409143518518519	0.009634	0.1147	3127.0	0.001508918173236824	41.1367665885924
12235	0.1416087962962963	0.009615	0.1145	3134.0	0.001506287104059428	41.22885400980127
12295	0.1423032407407407	0.009595999999999999	0.1143	3140.0	0.001503656034882031	41.30778608512316
12355	0.1429976851851852	0.009577	0.1141	3147.0	0.001501024965704635	41.39987350633204
12415	0.1436921296296296	0.009559999999999999	0.1138	3154.0	0.00149707836193854	41.49196092754091
12475	0.1443865740740741	0.009541	0.1136	3161.0	0.001494447292761144	41.58404834874978
12535	0.1450810185185185	0.009524	0.1134	3168.0	0.001491816223583747	41.67613576995866
12595	0.145775462962963	0.009507	0.1132	3175.0	0.001489185154406351	41.76822319116753
12655	0.1464699074074074	0.00949	0.113	3181.0	0.001486554085228955	41.84715526648942
12715	0.1471643518518519	0.009472	0.1128	3188.0	0.001483923016051558	41.9392426876983
12775	0.1478587962962963	0.009455	0.1126	3195.0	0.001481291946874162	42.03133010890717
12835	0.1485532407407407	0.009438	0.1124	3202.0	0.001478660877696765	42.12341753011604
12895	0.1492476851851852	0.00942	0.1122	3208.0	0.001476029808519369	42.20234960543793
12955	0.1499421296296296	0.009404000000000001	0.112	3215.0	0.001473398739341973	42.2944370266468
13015	0.1506365740740741	0.009387000000000001	0.1118	3222.0	0.001470767670164576	42.38652444785568
13075	0.1513310185185185	0.00937	0.1116	3229.0	0.00146813660098718	42.47861186906455
13135	0.152025462962963	0.009353	0.1114	3235.0	0.001465505531809783	42.55754394438645
13195	0.1527199074074074	0.009337	0.1112	3242.0	0.001462874462632387	42.64963136559532
13255	0.1534143518518518	0.00932	0.111	3249.0	0.001460243393454991	42.74171878680419
13315	0.1541087962962963	0.009304	0.1108	3255.0	0.001457612324277594	42.82065086212608
13375	0.1548032407407407	0.009287	0.1106	3262.0	0.001454981255100198	42.91273828333495
13435	0.1554976851851852	0.00927	0.1104	3268.0	0.001452350185922802	42.99167035865685
13495	0.1561921296296296	0.009253	0.1102	3275.0	0.001449719116745405	43.08375777986572
13555	0.1568865740740741	0.009236	0.11	3282.0	0.001447088047568009	43.17584520107459
13615	0.1575810185185185	0.009219	0.1098	3288.0	0.001444456978390612	43.25477727639648
13675	0.158275462962963	0.009202	0.1096	3295.0	0.001441825909213216	43.34686469760535
13735	0.1589699074074074	0.009184999999999999	0.1094	3301.0	0.00143919484003582	43.42579677292725
13795	0.1596643518518518	0.009168	0.1092	3308.0	0.001436563770858423	43.51788419413612
13855	0.1603587962962963	0.00915	0.109	3315.0	0.001433932701681027	43.609971615345
13915	0.1610532407407407	0.009133	0.1088	3321.0	0.00143130163250363	43.68890369066689
13975	0.1617476851851852	0.009115	0.1086	3328.0	0.001428670563326234	43.78099111187576
14035	0.1624421296296296	0.009097	0.1083	3334.0	0.00142472395956014	43.85992318719765
14095	0.1631365740740741	0.00908	0.1081	3341.0	0.001422092890382743	43.95201060840652
14155	0.1638310185185185	0.009062	0.1079	3347.0	0.001419461821205347	44.03094268372842
14215	0.164525462962963	0.009044	0.1077	3354.0	0.001416830752027951	44.12303010493729
14275	0.1652199074074074	0.009026000000000001	0.1075	3360.0	0.001414199682850554	44.20196218025918
14335	0.1659143518518519	0.009007	0.1073	3366.0	0.001411568613673158	44.28089425558107
14395	0.1666087962962963	0.008989	0.1071	3373.0	0.001408937544495761	44.37298167678995
14455	0.1673032407407407	0.008971	0.1068	3379.0	0.001404990940729667	44.45191375211184
14515	0.1679976851851852	0.008952	0.1066	3386.0	0.00140235987155227	44.54400117332071
14575	0.1686921296296296	0.008933	0.1064	3392.0	0.001399728802374874	44.6229332486426
14635	0.1693865740740741	0.008914	0.1062	3398.0	0.001397097733197478	44.70186532396449
14695	0.1700810185185185	0.008895	0.1059	3405.0	0.001393151129431383	44.79395274517336
14755	0.170775462962963	0.008875	0.1057	3411.0	0.001390520060253987	44.87288482049526
14815	0.1714699074074074	0.008855	0.1055	3418.0	0.00138788899107659	44.96497224170413
14875	0.1721643518518519	0.008834999999999999	0.1052	3424.0	0.001383942387310496	45.04390431702603
14935	0.1728587962962963	0.008816	0.105	3430.0	0.001381311318133099	45.12283639234791
14995	0.1735532407407407	0.008795	0.1048	3436.0	0.001378680248955703	45.20176846766981
15055	0.1742476851851852	0.008773999999999999	0.1045	3443.0	0.001374733645189608	45.29385588887868
15115	0.1749421296296296	0.008752	0.1043	3449.0	0.001372102576012212	45.37278796420057
15175	0.1756365740740741	0.008731000000000001	0.104	3455.0	0.001368155972246117	45.45172003952246
15235	0.1763310185185185	0.008709999999999999	0.1038	3461.0	0.001365524903068721	45.53065211484435
15295	0.177025462962963	0.008688	0.1035	3468.0	0.001361578299302627	45.62273953605322
15355	0.1777199074074074	0.008665	0.1032	3474.0	0.001357631695536532	45.70167161137512
15415	0.1784143518518519	0.008643000000000001	0.1029	3480.0	0.001353685091770437	45.78060368669701
15475	0.1791087962962963	0.008620000000000001	0.1027	3486.0	0.001351054022593041	45.8595357620189
15535	0.1798032407407407	0.008596	0.1024	3492.0	0.001347107418826947	45.9384678373408
15595	0.1804976851851852	0.008573	0.1021	3499.0	0.001343160815060852	46.03055525854967
15655	0.1811921296296296	0.008548	0.1018	3505.0	0.001339214211294757	46.10948733387156
15715	0.1818865740740741	0.008524	0.1015	3511.0	0.001335267607528663	46.18841940919345
15775	0.1825810185185185	0.0085	0.1013	3517.0	0.001332636538351266	46.26735148451534
15835	0.183275462962963	0.008475	0.101	3523.0	0.001328689934585172	46.34628355983723
15895	0.1839699074074074	0.008449	0.1007	3529.0	0.001324743330819077	46.42521563515912
15955	0.1846643518518518	0.008424	0.1003	3535.0	0.001319481192464284	46.50414771048101
16015	0.1853587962962963	0.008398000000000001	0.1	3541.0	0.00131553458869819	46.5830797858029
16075	0.1860532407407407	0.008371	0.09973	3547.0	0.001311982645308705	46.6620118611248
16135	0.1867476851851852	0.008345	0.09942000000000001	3553.0	0.00130790448808374	46.74094393644669
16195	0.1874421296296296	0.008319	0.09911	3559.0	0.001303826330858776	46.81987601176858
16255	0.1881365740740741	0.008292	0.09879	3565.0	0.001299616620174942	46.89880808709047
16315	0.1888310185185185	0.008265	0.09847	3571.0	0.001295406909491108	46.97774016241236
16375	0.189525462962963	0.008237999999999999	0.09815	3577.0	0.001291197198807273	47.05667223773425
16435	0.1902199074074074	0.008211	0.09783	3583.0	0.001286987488123439	47.13560431305614
16495	0.1909143518518518	0.008183	0.09749	3588.0	0.001282514670521865	47.20138104249106
16555	0.1916087962962963	0.008156	0.09717999999999999	3594.0	0.001278436513296901	47.28031311781294
16615	0.1923032407407407	0.008128	0.09684	3600.0	0.001273963695695327	47.35924519313484
16675	0.1929976851851852	0.0081	0.0965	3606.0	0.001269490878093753	47.43817726845673
16735	0.1936921296296296	0.008072	0.09618	3612.0	0.001265281167409919	47.51710934377862
16795	0.1943865740740741	0.008043999999999999	0.09584	3617.0	0.001260808349808345	47.58288607321353
16855	0.1950810185185185	0.008015000000000001	0.0955	3623.0	0.001256335532206771	47.66181814853542
16915	0.195775462962963	0.007988	0.09517	3629.0	0.001251994268064067	47.74075022385731
16975	0.1964699074074074	0.007959	0.09484	3635.0	0.001247653003921363	47.81968229917921
17035	0.1971643518518519	0.007931	0.0945	3640.0	0.001243180186319789	47.88545902861411
17095	0.1978587962962963	0.007902	0.09415	3646.0	0.001238575815259346	47.964391103936
17155	0.1985532407407407	0.007873999999999999	0.09382	3652.0	0.001234234551116642	48.0433231792579
17215	0.1992476851851852	0.007845	0.09348	3657.0	0.001229761733515068	48.10909990869281
17275	0.1999421296296296	0.007816	0.09312999999999999	3663.0	0.001225157362454624	48.1880319840147
17335	0.2006365740740741	0.007787000000000001	0.09279	3668.0	0.00122068454485305	48.25380871344961
17395	0.2013310185185185	0.007758	0.09245	3674.0	0.001216211727251477	48.3327407887715
17455	0.202025462962963	0.007729000000000001	0.0921	3679.0	0.001211607356191033	48.3985175182064
17515	0.2027199074074074	0.0077	0.09176000000000001	3685.0	0.001207134538589459	48.4774495935283
17575	0.2034143518518519	0.007672	0.09143	3690.0	0.001202793274446755	48.54322632296321
17635	0.2041087962962963	0.007642	0.09107	3696.0	0.001198057349927442	48.6221583982851
17695	0.2048032407407407	0.007613	0.09072999999999999	3701.0	0.001193584532325868	48.68793512772001
17755	0.2054976851851852	0.007584	0.09038	3707.0	0.001188980161265424	48.7668672030419
17815	0.2061921296296296	0.007556	0.09004	3712.0	0.00118450734366385	48.83264393247681
17875	0.2068865740740741	0.007527	0.0897	3718.0	0.001180034526062276	48.9115760077987
17935	0.2075810185185185	0.007499	0.08937	3723.0	0.001175693261919572	48.97735273723361
17995	0.208275462962963	0.007469	0.08901	3728.0	0.001170957337400259	49.04312946666852
18055	0.2089699074074074	0.007441	0.08868	3734.0	0.001166616073257555	49.12206154199041
18115	0.2096643518518519	0.007412999999999999	0.08834	3739.0	0.001162143255655981	49.18783827142532
18175	0.2103587962962963	0.007383	0.088	3744.0	0.001157670438054407	49.25361500086023
18235	0.2110532407407407	0.007354	0.08765	3750.0	0.001153066066993963	49.33254707618212
